time,ema9,ema21,ema50,sma200,atr,rsi,roc,macd_line,macd_signal,macd_hist,adx,plus_di,minus_di,chop,vwap,bias_score,execution_score,smart_money_score,regime_score,score_penalty,vix_pine,qqq_close_pine,spy_close_pine,qqq_ema21_pine,spy_ema21_pine,bsl_level,ssl_level,bull_ob_high,bull_ob_low,bear_ob_high,bear_ob_low
2025-10-13 13:30:00+00:00,253.06347065930603,249.83370176826892,239.54046536608448,222.1424686250002,5.788344715056255,51.04778616752183,-2.8333618938040046,4.775919420699012,6.219778252614903,-1.4438588319158914,39.12717565571632,18.212915370776912,17.977374397485004,55.76485542315858,248.96056328742392,58,26,0,0,32,21.66,602.01,663.04,597.8913610021785,662.7977374184238,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-14 13:30:00+00:00,251.84652652744484,249.5741606984263,239.8321628027086,222.09337487500017,5.80066615906194,48.95502832104392,-2.602261635988996,3.965948574597945,5.769012317011511,-1.803063742413566,36.50597622217582,16.876069354276105,17.71680899157011,56.40839025162178,247.44653164371195,55,23,0,0,32,19.03,598.0,662.23,597.9012372747078,662.7461249258398,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-15 13:30:00+00:00,251.38297122195587,249.57003245311483,240.21242112417104,222.0473436250001,5.7321364334146585,53.718825232546585,-2.045424880539609,3.48957883962305,5.313125621533819,-1.8235467819107691,34.03608865723216,17.302415453556684,16.648004036424762,56.060731010357,249.60625,70,38,0,0,32,20.81,602.22,665.17,598.2938520679162,662.9664772053089,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-16 13:30:00+00:00,250.5998769775647,249.3788931391953,240.49693402126235,222.00320612500013,5.636894545313612,49.68256247905735,-3.042799002874832,2.91215720863562,4.83293193895418,-1.92077473031856,32.083647271072856,16.337991319405322,18.685214811060508,56.22563639498823,247.257257910928,75,56,0,0,19,20.64,599.99,660.64,598.4480473344693,662.7549792775536,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-17 13:30:00+00:00,250.52790158205173,249.45717558108663,240.8790150400364,221.99355612500017,5.670687792076924,54.62144971513902,-1.5771878072763104,2.647742458333397,4.395894042830023,-1.7481515844966262,30.38635282337264,20.37816008502776,17.2471596922051,58.35580865464772,250.29666666666665,77,48,0,0,29,25.31,603.93,664.39,598.9464066676993,662.9036175250487,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-20 13:30:00+00:00,252.3288212656414,250.3731141646242,241.61052425415255,222.03425612500016,6.343821275986004,66.49268517388299,1.925943089638444,3.1516882527309638,4.147052884810211,-0.995364632079248,30.669231228444424,29.294605545643943,14.315868459988094,53.39268899249596,257.729314477732,100,100,26,12,0,20.78,611.54,671.3,600.0912787888176,663.6669250227716,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-21 13:30:00+00:00,254.45155701251312,251.51578560420384,242.4470723226172,222.11934350000016,6.668086062230006,69.63221694618045,2.690854414621996,3.7826236956039168,4.074167046968952,-0.2915433513650356,31.04825074793523,26.85945971084676,12.64686138625476,54.59844995645054,260.879657238866,100,100,0,12,6,18.23,611.38,671.29,601.1175261716523,664.3599318388832,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-22 13:30:00+00:00,255.5302456100105,252.2729869129126,243.12934399624004,222.20258100000015,6.72840134349929,63.78578645932244,1.30063789246958,3.9867454961955104,4.056682736814264,-0.0699372406187537,31.400197444605265,24.71734939395117,11.6382419820117,56.03798721726865,259.375,95,83,0,0,12,17.87,605.49,667.8,601.5150237924112,664.6726653080756,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-23 13:30:00+00:00,256.3317014880084,252.93339946628416,243.77280207481888,222.27546862500017,6.434222676106482,63.21836338178721,1.1965492871938432,4.076709066502957,4.060688002752003,0.0160210637509541,31.727005091513156,24.001203277089108,11.30104232238483,54.9350143241056,259.38920833333333,100,100,0,12,13,18.6,610.58,671.76,602.3391125385556,665.3169684618869,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-24 13:30:00+00:00,257.4313611904067,253.7421813329856,244.48092748364948,222.36950612500016,6.328206770670304,65.6704229407629,1.8001555209953326,4.283610620829251,4.105272526367452,0.1783380944617985,32.51632198978252,26.622054561244934,10.66962716433548,55.32139621606331,261.7133333333333,100,100,0,0,12,17.3,617.1,677.25,603.6810113986869,666.4017895108062,257.6,253.95,231.18435646699143,226.32023402730636,,
